"nom_estab"	"nom_vial"	"per_ocu"	"lat"	"lon"
"CONSULTORIO MÉDICO"	"PEDRO MORENO"	"0 a 5 personas"	"20.448811"	"-97.318685"
"CONSULTORIO MÉDICO SIN NOMBRE"	"NICOLÁS BRAVO"	"0 a 5 personas"	"18.366377"	"-95.796998"
"CONSULTORIO MÉDICO GENERAL SIN NOMBRE"	"ENRIQUE RÉBSAMEN"	"0 a 5 personas"	"17.956323"	"-94.910766"
"CLÍNICA SANTA ELENA"	"JESÚS CARRANZA"	"0 a 5 personas"	"18.087046"	"-96.130616"
"CONSULTORIO MÉDICO"	"ÉBANO"	"0 a 5 personas"	"19.561879"	"-96.936359"
"CONSULTORIO MÉDICO SIN NOMBRE"	"CUAUHTÉMOC"	"0 a 5 personas"	"20.948192"	"-97.389686"
"CONSULTORIOS PRIVADOS DE MEDICINA GENERAL"	"FERRER GUARDIA"	"0 a 5 personas"	"19.370324"	"-96.375151"
"CONSULTORIO MÉDICO GENERAL"	"16 DE SEPTIEMBRE"	"0 a 5 personas"	"20.914642"	"-97.676106"
"INSTITUTO MEXICANO DEL SEGURO SOCIAL"	"CRISTO REY"	"11 a 30 persona"	"19.769833"	"-96.430091"
"CRUZ ROJA MEXICANA"	"NINGUNO"	"11 a 30 persona"	"20.183474"	"-96.876569"
"CONSULTORIO MÉDICO DE LA CLÍNICA TUXTEPEC"	"5 DE MAYO"	"0 a 5 personas"	"18.082312"	"-96.121913"
"CONSULTORIO MÉDICO SIN NOMBRE"	"BENITO JUÁREZ"	"0 a 5 personas"	"21.278903"	"-97.446502"
"CONSULTORIO MÉDICO SIN NOMBRE"	"16 DE SEPTIEMBRE"	"0 a 5 personas"	"20.029333"	"-96.647717"
"CONSULTORIO MÉDICO GENERAL SIN NOMBRE"	"FRANCISCO JAVIER MINA"	"0 a 5 personas"	"20.064782"	"-97.052694"
"CONSULTORIO MÉDICO SIN NOMBRE"	"MIGUEL LERDO DE TEJADA"	"0 a 5 personas"	"19.195444"	"-96.146733"
"CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO"	"INDEPENDENCIA"	"0 a 5 personas"	"18.148035"	"-94.436049"
"MÉDICO GENERAL CIRINO RAMOS SANCHEZ"	"COLÓN SUR"	"0 a 5 personas"	"20.259281"	"-97.400495"
"CONSULTORIO MEDICINA FAMILIAR IMSS"	"16 DE SEPTIEMBRE"	"0 a 5 personas"	"20.028547"	"-96.647615"
"CONSULTORIO MÉDICO"	"HERIBERTO JARA CORONA"	"0 a 5 personas"	"19.17175"	"-96.125523"
"CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO"	"16 DE SEPTIEMBRE"	"0 a 5 personas"	"19.193877"	"-96.129584"
"HOSPITAL REGIONAL POZA RICA"	"FLORES"	"251 y más pers"	"20.554107"	"-97.439554"
"CONSULTORIO MÉDICO SIN NOMBRE"	"MIGUEL HIDALGO"	"0 a 5 personas"	"20.451514"	"-97.084482"
"GABINETE DE ESPECIALIDADES MÉDICAS"	"DEL LAGO"	"0 a 5 personas"	"19.194616"	"-96.165366"
"CONSULTORIO MÉDICO"	"BENITO JUÁREZ"	"0 a 5 personas"	"18.144251"	"-94.426994"
"CONSULTORIO MÉDICO GENERAL"	"NACIONAL"	"0 a 5 personas"	"18.971963"	"-96.721802"
"CONSULTORIO MÉDICO"	"FRANCISCO VÁZQUEZ"	"0 a 5 personas"	"19.545457"	"-96.928663"
"UNIDAD MEDICA RURAL OPORTUNIDADES"	"LIBERTAD"	"0 a 5 personas"	"19.401504"	"-96.355881"
"HOSPITAL GENERAL ISLA"	"RAÚL SANDOVAL NORTE"	"101 a 250 perso"	"18.03821"	"-95.529675"
"CONSULTORIO EMPLEADOS DEL ISSSTE"	"NACIONAL"	"0 a 5 personas"	"18.973449"	"-96.718815"
"CONSULTORIO MÉDICO DE MEDICINA GENERAL"	"JUAN DE LA LUZ ENRÍQUEZ"	"0 a 5 personas"	"18.633194"	"-95.520327"
"CONSULTORIO MÉDICO SIN NOMBRE"	"1 PONIENTE"	"0 a 5 personas"	"19.150672"	"-96.966617"
"FARMACIAS DE SIMILARES"	"J B LOBOS"	"0 a 5 personas"	"19.161939"	"-96.172265"
"CONSULTORIO MÉDICO SIN NOMBRE"	"SEBASTIÁN LERDO DE TEJADA"	"0 a 5 personas"	"17.985274"	"-94.545546"
"CONSULTORIO MÉDICO CIRUJANO"	"PRIMERO DE MAYO"	"0 a 5 personas"	"19.547262"	"-96.936261"
"CONSULTORIO SIN NOMBRE"	"JUAN ESCUTIA"	"0 a 5 personas"	"18.139598"	"-94.439915"
"CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO"	"SECCIÓN 1"	"0 a 5 personas"	"18.005724"	"-94.610122"
"CONSULTORIO MÉDICO SIN NOMBRE"	"MIGUEL HIDALGO"	"0 a 5 personas"	"19.654951"	"-96.872186"
"CONSULTORIO MÉDICO JUVENAL"	"VILLAHERMOSA"	"0 a 5 personas"	"19.554214"	"-96.921467"
"DISPENSARIO MÉDICO SANTO DOMINGO"	"16 DE SEPTIEMBRE"	"0 a 5 personas"	"17.884697"	"-95.141808"
"CONSULTORIO MÉDICO SIN NOMBRE"	"HERMANOS BOJALIL GIL"	"0 a 5 personas"	"19.929374"	"-96.856243"
"CONSULTORIO MÉDICO"	"LAS GARZAS"	"0 a 5 personas"	"20.565912"	"-97.444148"
"CONSULTORIO MÉDICO"	"PASEO DE LAS JACARANDAS"	"0 a 5 personas"	"19.165817"	"-96.123548"
"CONSULTORIO MÉDICO SIN NOMBRE"	"JUSTINO SARMIENTO"	"0 a 5 personas"	"19.207503"	"-96.273147"
"CENTRO DE DIAGNÓSTICO DEL ANGEL"	"JESÚS CARRANZA"	"0 a 5 personas"	"18.086757"	"-96.129678"
"CONSULTORIO MÉDICO SIN NOMBRE"	"LÁZARO CÁRDENAS"	"0 a 5 personas"	"20.526057"	"-97.466752"
"INSTITUTO MEXICANO DEL SEGURO SOCIAL"	"COSTERA DEL GOLFO"	"101 a 250 perso"	"18.450433"	"-95.226339"
"CONSULTORIO MÉDICO SIN NOMBRE"	"VICENTE GUERRERO"	"0 a 5 personas"	"17.950366"	"-94.913838"
"CONSULTORIO MÉDICO"	"INDEPENDENCIA"	"0 a 5 personas"	"19.587483"	"-97.010611"
"FARMACIA ANITA"	"ARCOS DEL TRIUNFO (DANTE DELGADO RANNAURO)"	"0 a 5 personas"	"18.003894"	"-94.579172"
"CONSULTORIO MÉDICO SIN NOMBRE"	"JAVIER MINA"	"0 a 5 personas"	"19.355649"	"-97.11802"
"CONSULTORIO MÉDICO"	"PRESIDENTE GUADALUPE VICTORIA"	"0 a 5 personas"	"19.564738"	"-97.243058"
"HOSPITAL DOCTOR HÉCTOR MIGUEL MORENO MENDOZA"	"A PLAYA AZUL"	"101 a 250 perso"	"18.421353"	"-95.101345"
"CONSULTORIO MÉDICO SIN NOMBRE"	"DOCTOR EFRÉN E. MARÍN"	"0 a 5 personas"	"19.764141"	"-97.245441"
"SALUD PARA TODOS SUC 1057 POZA RICA 02"	"ADOLFO RUÍZ CORTINES"	"0 a 5 personas"	"20.52569"	"-97.464567"
"CONSULTORIO MÉDICO CIRUGÍA GENERAL"	"IGANCIO ALLENDE"	"0 a 5 personas"	"17.980672"	"-94.543409"
"CONSULTORIO SAN MARTIN"	"VICENTE SUÁREZ"	"0 a 5 personas"	"19.575492"	"-96.925526"
"UNIDAD BASICA DE REHABILITACIÓN"	"LÁZARO CÁRDENAS"	"11 a 30 persona"	"20.532347"	"-97.470386"
"CONSULTORIO GENERAL SIN NOMBRE"	"CUAUHTÉMOC"	"0 a 5 personas"	"20.717377"	"-97.537336"
"MEDICS"	"MANLIO FABIO ALTAMIRANO"	"6 a 10 personas"	"19.182993"	"-96.129998"
"CONSULTORIO MÉDICO"	"ALCOCER"	"0 a 5 personas"	"19.177327"	"-96.146646"
"CONSULTORIO MÉDICO SUEM"	"REVOLUCIÓN"	"0 a 5 personas"	"18.14865"	"-94.426627"
"CONSULTORIO MÉDICO SIN NOMBRE"	"TENOYA"	"0 a 5 personas"	"19.193342"	"-96.135814"
"CONSULTORIO MÉDICO SIN NOMBRE"	"3 SUR"	"0 a 5 personas"	"19.149938"	"-96.962592"
"CRUZ ROJA"	"PLAN DE AYALA"	"6 a 10 personas"	"17.907574"	"-94.091722"
"CONSULTORIO MÉDICO SIN NOMBRE"	"VENUSTIANO CARRANZA"	"0 a 5 personas"	"19.211915"	"-96.960854"
"CONSULTORIO MÉDICO"	"FRANCISCO I. MADERO"	"0 a 5 personas"	"18.024959"	"-94.394405"
"CONSULTORIO MÉDICO"	"CUBA"	"0 a 5 personas"	"20.535863"	"-97.459405"
"MEDICA 20 CONSULTORIO CIRUJANO PEDIATRA"	"20 DE NOVIEMBRE"	"0 a 5 personas"	"20.543127"	"-97.452297"
"CONSULTORIO MÉDICO MEDICINA GENERAL"	"LÁZARO CÁRDENAS"	"0 a 5 personas"	"19.153274"	"-96.125899"
"CONSULTORIO MÉDICO DR PARROQUIN"	"INDEPENDENCIA"	"0 a 5 personas"	"18.080583"	"-96.121128"
"CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO"	"16 DE SEPTIEMBRE"	"0 a 5 personas"	"19.194986"	"-96.130403"
"CONSULTORIO MÉDICO SIN NOMBRE"	"NACIONAL"	"0 a 5 personas"	"18.970251"	"-96.724776"
"CONSULTORIO MÉDICO SIN NOMBRE"	"CIRCUNVALACIÓN ESTE"	"0 a 5 personas"	"19.042035"	"-96.236578"
"CONSULTORIO MÉDICO SIN NOMBRE"	"NINGUNO"	"0 a 5 personas"	"19.160286"	"-96.843702"
"CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO"	"CALZADA JUAN PABLO II"	"0 a 5 personas"	"19.160008"	"-96.106104"
"CONSULTORIO MÉDICO"	"MORELOS"	"0 a 5 personas"	"18.837154"	"-96.394718"
"SANATORIO DE JESUS"	"IGNACIO ALLENDE"	"11 a 30 persona"	"19.189788"	"-96.13925"
"HOSPITAL MILLENIUM"	"CALZADA JUAN PABLO II"	"101 a 250 perso"	"19.161204"	"-96.102867"
"CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO"	"20 DE NOVIEMBRE"	"0 a 5 personas"	"19.173995"	"-96.130506"
"CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO"	"GUADALUPE VICTORIA"	"0 a 5 personas"	"19.186976"	"-96.144697"
"CONSULTORIO MÉDICO"	"MANUEL CONTRERAS ORIENTE"	"0 a 5 personas"	"19.043484"	"-96.422682"
"CONSULTORIO MÉDICO SIN NOMBRE"	"MIGUEL HIDALGO NORTE"	"0 a 5 personas"	"18.240884"	"-96.135681"
"CONSULTORIO MÉDICO SIN NOMBRE"	"MIGUEL ALEMÁN"	"0 a 5 personas"	"18.719765"	"-95.987046"
"UNIDAD DE MEDICINA FAMILIAR"	"MIGUEL HIDALGO"	"6 a 10 personas"	"19.504783"	"-96.613848"
"CONSULTORIO SIN NOMBRE"	"ZAMORA PONIENTE"	"0 a 5 personas"	"19.045983"	"-96.422373"
"CONSULTORIO MÉDICO SIN NOMBRE"	"ADOLFO RUÍZ CORTINES"	"0 a 5 personas"	"20.535559"	"-97.458593"
"DOCTORA DENISS RÍOS DE LA CRUZ"	"CUBA"	"0 a 5 personas"	"20.535863"	"-97.459405"
"CONSULTORIO MÉDICO SIN NOMBRE"	"2 DE ENERO"	"0 a 5 personas"	"20.540855"	"-97.452285"
"CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO"	"IGNACIO DE LA LLAVE"	"0 a 5 personas"	"20.062666"	"-97.059142"
"CONSULTORIO GENERAL"	"MIGUEL HIDALGO"	"0 a 5 personas"	"20.205422"	"-97.594558"
"UNIDAD MÉDICA FAMILIAR N58 PARA TRABAJADORES CFE"	"IGNACIO ALLENDE"	"31 a 50 persona"	"19.52521"	"-96.928679"
"UNIDAD MÉDICA URBANA COATEPEC 3 Y 4"	"JUAN CLIMACO R."	"0 a 5 personas"	"19.444474"	"-96.964896"
"CONSULTORIO MÉDICO SIN NOMBRE"	"EMILIO CARRANZA"	"0 a 5 personas"	"20.91501"	"-97.676263"
"UMF ISSSTE LAS CHOAPAS"	"NAYARIT"	"6 a 10 personas"	"17.921263"	"-94.094355"
"ULTRAIMAGEN"	"VALENTÍN GÓMEZ FARÍAS"	"0 a 5 personas"	"19.188844"	"-96.127244"
"CONSULTORIO MÉDICO"	"DE LAS AMÉRICAS"	"0 a 5 personas"	"19.168083"	"-96.120742"
"CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO"	"HIDALGO"	"0 a 5 personas"	"19.921779"	"-96.726355"
"CONSULTORIO MÉDICO"	"CRISTÓBAL COLÓN"	"0 a 5 personas"	"20.447001"	"-97.31608"
"CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO"	"14 DE DICIEMBRE"	"0 a 5 personas"	"20.527636"	"-97.462965"
"CONSULTORIO MÉDICO SIN NOMBRE"	"AQUILES SERDÁN"	"0 a 5 personas"	"17.950909"	"-94.912056"
"CONSULTORIO MÉDICO"	"LIMÓN"	"0 a 5 personas"	"18.506564"	"-95.774091"
"MÉDICO CIRUJANO SIN NOMBRE"	"GUADALUPE VICTORIA"	"0 a 5 personas"	"19.422726"	"-97.00832"
"CONSULTORIO MÉDICO SIN NOMBRE"	"PUEBLA"	"0 a 5 personas"	"18.113881"	"-95.872023"
"CONSULTORIO SIN NOMBRE"	"4 PONIENTE"	"0 a 5 personas"	"19.152158"	"-96.965467"
"CONSULTORIO MÉDICO"	"INDEPENDENCIA"	"0 a 5 personas"	"20.915245"	"-97.675887"
"DRA. DULCE MARIA VARGAS CUERVOOIDOS  NARIZ Y GARGANTA."	"JOSÉ DÍAZ"	"0 a 5 personas"	"19.535041"	"-96.934475"
"CONSULTORIO MÉDICO MEDICINA GENERAL"	"CUAUHTÉMOC"	"0 a 5 personas"	"18.152896"	"-94.418525"
"CONSULTORIO MÉDICO SIN NOMBRE"	"6 SUR"	"0 a 5 personas"	"19.149209"	"-96.967712"
"CONSULTORIO MÉDICO SIN NOMBRE"	"4 PONIENTE"	"0 a 5 personas"	"19.152802"	"-96.96976"
"SERVICIO MÉDICO SIN NOMBRE"	"JUAN SARABIA"	"0 a 5 personas"	"17.808355"	"-95.018525"
"SALUD PARA TODOS SUC 927 MINATITLAN 01"	"JUSTO SIERRA"	"0 a 5 personas"	"17.98674"	"-94.547746"
"UNIDAD DE MEDICINA FAMILIAR SETENTA"	"ELADIO DGUEZ CONTRERAS"	"11 a 30 persona"	"18.4695"	"-95.433688"
"CONSULTORIO MÉDICO"	"RODRÍGUEZ MALPICA"	"0 a 5 personas"	"18.144658"	"-94.414478"
"CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO"	"20 DE NOVIEMBRE"	"0 a 5 personas"	"19.535029"	"-96.916694"
"UNIDAD QUIRÚRGICA MEDICAL LASER"	"GALEANA"	"0 a 5 personas"	"20.95353"	"-97.412456"
"CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO"	"XICOTÉNCATL"	"0 a 5 personas"	"19.198831"	"-96.131918"
"CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO"	"SEBASTIÁN LERDO DE TEJADA"	"0 a 5 personas"	"19.926662"	"-96.853717"
"CONSULTORIO MÉDICO"	"20 DE NOVIEMBRE"	"0 a 5 personas"	"19.525502"	"-96.89999"
"SALUD PARA LA MUJER"	"CORONA"	"0 a 5 personas"	"19.52568"	"-96.917725"
"CONSULTORIO MÉDICO"	"PLAN DE AYALA"	"0 a 5 personas"	"17.908188"	"-94.091975"
"MEDICINA ESTÉTICA"	"ESPAÑA"	"0 a 5 personas"	"19.162131"	"-96.123814"
"CONSULTORIO MÉDICO"	"VERACRUZ"	"0 a 5 personas"	"19.210903"	"-96.173771"
"DOCTOR EN GENERAL"	"FERROCARRILES"	"0 a 5 personas"	"19.035548"	"-96.137159"
"CONSULTORIO MÉDICO SIN NOMBRE"	"JOSEFA ORTIZ DE DOMÍNGUEZ"	"0 a 5 personas"	"19.068914"	"-96.845174"
"DOCTOR ARMANDO CORDOVA ALONSO"	"JESÚS REYES HEROLES"	"0 a 5 personas"	"19.541292"	"-96.930811"
"CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO"	"18 DE MARZO"	"0 a 5 personas"	"18.154722"	"-94.418291"
"CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO"	"GUTIÉRREZ ZAMORA"	"0 a 5 personas"	"18.148077"	"-94.420069"
"CONSULTORIO MÉDICO SIN NOMBRE"	"IGNACIO ZARAGOZA"	"0 a 5 personas"	"19.526452"	"-96.921599"
"UMF 37"	"TRANSÍSTMICA COATZACOALCOS-MINATITLÁN"	"31 a 50 persona"	"18.135396"	"-94.431769"
"CONSULTORIO MÉDICO GENERAL"	"HÉROES DE TLAPACOYAN"	"0 a 5 personas"	"19.963636"	"-97.214052"
"IMSS OPORTUNIDADES"	"CARLOS VILLA"	"0 a 5 personas"	"19.461322"	"-96.856444"
"CONSULTORIO MÉDICO SIN NOMBRE"	"1 ORIENTE"	"0 a 5 personas"	"19.150334"	"-96.96365"
"CONSULTORIO MÉDICO MAS"	"MÁRTIRES 28 DE AGOSTO"	"0 a 5 personas"	"19.548982"	"-96.947758"
"UNIDAD MEDICA DE ESPECIALIDADES"	"MELCHOR OCAMPO"	"0 a 5 personas"	"20.062945"	"-97.054742"
"CONSULTORIO MÉDICO SIN NOMBRE"	"GUILLERMO PRIETO"	"0 a 5 personas"	"18.444971"	"-95.21411"
"CONSULTORIO MÉDICO GENERAL Y CIRUJANO"	"8 NORTE"	"0 a 5 personas"	"20.526576"	"-97.460375"
"CONSULTORIO MÉDICO"	"MARIANO ABASOLO"	"0 a 5 personas"	"18.467094"	"-95.301771"
"CONSULTORIO MÉDICO SIN NOMBRE"	"MIGUEL HIDALGO"	"0 a 5 personas"	"20.188863"	"-96.908373"
"HOSPITAL ANGEL"	"LIBRAMIENTO MARTÍNEZ DE LA TORRE-TLAPACOYAN"	"11 a 30 persona"	"20.070403"	"-97.069867"
"HOSPITAL DE TLACOTALPAN"	"VENUSTIANO CARRANZA"	"51 a 100 person"	"18.611768"	"-95.657015"
"CONTULTORIO MÉDICO PRIVADO SIN NOMBRE"	"NICOLAS BRAVO"	"0 a 5 personas"	"17.964133"	"-94.877757"
"CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO"	"AQUILES SERDÁN"	"0 a 5 personas"	"19.196247"	"-96.142058"
"CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO"	"RUÍZ CORTINES"	"0 a 5 personas"	"18.364913"	"-95.795303"
"CONSULTORIO MÉDICO SIN NOMBRE"	"VICENTE GUERRERO"	"0 a 5 personas"	"20.952278"	"-97.399396"
"CONSULTORIO MÉDICO DEL DOCTOR ROLDÁN"	"5 DE MAYO"	"0 a 5 personas"	"19.563191"	"-97.243005"
"CONSULTORIO MÉDICO"	"ADOLFO RUÍZ CORTINES"	"0 a 5 personas"	"19.166044"	"-96.149967"
"CONSULTORIO MÉDICO SIN NOMBRE"	"DE LAS AMÉRICAS"	"0 a 5 personas"	"19.535702"	"-96.912221"
"CONSULTORIO MÉDICO SIN NOMBRE"	"JUAN DE LA LUZ ENRÍQUEZ"	"0 a 5 personas"	"19.769456"	"-97.247386"
"CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO"	"VICENTE CAMPO REDONDO"	"0 a 5 personas"	"19.074463"	"-96.161417"
"CONSULTORIO MÉDICO SIN NOMBRE"	"FRANCISCO TÉLLEZ BAUTISTA"	"0 a 5 personas"	"18.143398"	"-94.455278"
